,aid,title,url,date,time,length,play,danmaku,review,favorites,coin
0,10133642,王老菊教你玩猛男阿修罗,http://www.bilibili.com/video/av10133642,2017-04-27,07:32:40,48:26,158800,4057,1476,527,2910
1,9999121,王老菊带你迷航外星,http://www.bilibili.com/video/av9999121,2017-04-21,10:59:27,43:10,300826,7457,2995,830,5611
2,9796052,王老菊教你榔头死神,http://www.bilibili.com/video/av9796052,2017-04-12,09:17:10,42:12,430307,7008,2170,1114,7052
3,9671516,王老菊带你像素冒险,http://www.bilibili.com/video/av9671516,2017-04-07,05:28:10,48:08,391372,7491,1887,1018,6439
4,9449918,（完结合集）【王老菊】筋肉猛男传火记【黑暗之魂3环之城DLC】,http://www.bilibili.com/video/av9449918,2017-03-28,05:54:37,249:09,930843,38226,4066,5024,17707
5,9381259,王老菊和散人互相进入身体，竟然是为了,http://www.bilibili.com/video/av9381259,2017-03-25,04:26:10,40:37,503672,8857,4023,6165,16157
6,9227167,【王老菊】旋转仁王10,http://www.bilibili.com/video/av9227167,2017-03-17,15:14:10,68:01,215029,6415,1780,338,4134
7,9069433,王老菊带你丛林进化,http://www.bilibili.com/video/av9069433,2017-03-10,03:35:20,42:12,530872,6169,1781,1014,4327
8,9064432,【王老菊】迷路仁王08~09,http://www.bilibili.com/video/av9064432,2017-03-09,12:21:11,87:52,214340,7043,1198,356,3331
9,9014027,【王老菊】拖更仁王07,http://www.bilibili.com/video/av9014027,2017-03-06,14:07:24,50:44,201172,5268,1390,339,4156
10,8811069,【王老菊】地精仁王06,http://www.bilibili.com/video/av8811069,2017-02-24,10:13:37,53:10,264367,5553,3177,431,4637
11,8739330,【王老菊】还有啥带仁王的词？04~05,http://www.bilibili.com/video/av8739330,2017-02-20,12:55:37,87:15,324716,9436,2578,440,4306
12,8719409,【王老菊】炸弹仁王03,http://www.bilibili.com/video/av8719409,2017-02-19,10:51:15,63:44,283039,8418,2228,455,4816
13,8658632,【王老菊】精尽仁王02,http://www.bilibili.com/video/av8658632,2017-02-16,12:16:13,46:01,331937,7939,2305,518,5496
14,8637601,【王老菊】火力少年仁王01,http://www.bilibili.com/video/av8637601,2017-02-15,09:47:22,71:41,688618,16254,3522,1553,8672
15,8539471,王老菊教你红衣影魔,http://www.bilibili.com/video/av8539471,2017-02-10,13:06:13,35:04,587380,12102,5548,1038,8926
16,8105366,王老菊教你杀将军09：影先生的故事,http://www.bilibili.com/video/av8105366,2017-01-19,10:45:22,40:32,234665,4113,6382,430,4737
17,7900189,王老菊带你极限滑雪,http://www.bilibili.com/video/av7900189,2017-01-07,09:43:49,28:53,586374,11500,4084,1455,14702
18,7737465,王老菊教你杀将军08：金泽城炸比,http://www.bilibili.com/video/av7737465,2016-12-28,05:09:01,35:24,219670,3196,2751,334,3567
19,7691117,【王老菊教你喜加一】第八期：打飞机游戏,http://www.bilibili.com/video/av7691117,2016-12-25,01:40:15,51:58,498603,7738,1520,978,6171
20,7627526,王老菊教你杀将军07：小村血案,http://www.bilibili.com/video/av7627526,2016-12-21,01:51:21,46:27,212937,3617,1132,377,3491
21,7602857,王老菊教你杀将军05~06,http://www.bilibili.com/video/av7602857,2016-12-19,06:12:43,67:36,286967,4907,1247,468,3829
22,7531412,王老菊教你杀将军04：都留山芳影,http://www.bilibili.com/video/av7531412,2016-12-14,13:46:57,49:27,238761,4386,1256,458,3713
23,7510170,王老菊教你杀将军01~03,http://www.bilibili.com/video/av7510170,2016-12-13,02:25:10,129:04,898980,17144,2162,2487,8415
24,7433013,王老菊带你刚爆迷宫,http://www.bilibili.com/video/av7433013,2016-12-07,23:50:56,67:08,482319,5657,1752,654,4325
25,7422259,王老菊带你对话人工智能03（完）,http://www.bilibili.com/video/av7422259,2016-12-07,02:58:32,77:58,190091,7145,2096,842,7378
26,7412811,王老菊带你对话人工智能02,http://www.bilibili.com/video/av7412811,2016-12-06,07:26:53,60:14,220834,5657,1823,776,5445
